id,host_id,price,reply time,guest favourite,host since,room_type,host total listings count,consumer,total reviewers number,accommodates,bathrooms,bedrooms,beds,listing number,host response rate,host acceptance rate,sales,price_log,city_Amsterdam,city_Dublin,city_Hongkong,city_Munich,city_NewYork,city_Singapore,city_Toronto,city_berlin,city_sydney,city_taipei,city_tokyo,area_Asia,area_Europe,area_North America,consumer_missing_flag,host_experience_days
1,1368256,250.0,0.0,0,1970-01-01 00:00:00.000004563,3,1,6.81,47,6,1.5,2,3,1,0.9,0.42,102,5.5254529391317835,False,False,False,False,False,False,True,False,False,False,False,False,False,True,0,20410
2,113345,152.0,0.0,0,1970-01-01 00:00:00.000005120,3,5,6.67,42,4,1.0,1,2,5,0.9,0.42,166,5.030437921392435,False,False,False,False,False,False,True,False,False,False,False,False,False,True,0,20410
3,1466410,120.0,0.0,0,1970-01-01 00:00:00.000004534,2,1,0.0,0,1,1.0,1,2,2,1.0,0.65,181,4.795790545596741,False,False,False,False,False,False,True,False,False,False,False,False,False,True,0,20410
4,118124,75.0,1.0,1,1970-01-01 00:00:00.000005111,3,1,6.86,29,1,1.0,0,1,1,1.0,1.0,365,4.330733340286331,False,False,False,False,False,False,True,False,False,False,False,False,False,True,0,20410
5,175687,90.0,0.0,0,1970-01-01 00:00:00.000005033,3,1,6.57,7,2,1.0,1,1,4,1.0,0.8,328,4.51085950651685,False,False,False,False,False,False,True,False,False,False,False,False,False,True,0,20410
6,1704172,102.0,1.0,1,1970-01-01 00:00:00.000004469,2,2,6.78,121,1,1.0,1,1,3,1.0,1.0,144,4.634728988229636,False,False,False,False,False,False,True,False,False,False,False,False,False,True,0,20410
7,1027776,60.0,0.0,0,1970-01-01 00:00:00.000004631,2,1,6.36,85,2,1.0,1,0,1,0.0,0.0,365,4.110873864173311,False,False,False,False,False,False,True,False,False,False,False,False,False,True,0,20410
8,195095,126.0,0.0,0,1970-01-01 00:00:00.000005015,3,11,6.23,66,2,1.0,1,1,11,1.0,0.71,62,4.844187086458591,False,False,False,False,False,False,True,False,False,False,False,False,False,True,0,20410
9,1816495,251.0,1.0,0,1970-01-01 00:00:00.000004447,3,3,6.55,64,7,1.5,3,4,3,1.0,0.9,89,5.529429087511423,False,False,False,False,False,False,True,False,False,False,False,False,False,True,0,20410
10,195095,104.0,0.0,0,1970-01-01 00:00:00.000005015,2,11,6.13,8,2,1.0,1,1,11,1.0,0.71,0,4.653960350157523,False,False,False,False,False,False,True,False,False,False,False,False,False,True,0,20410
11,1015670,361.0,0.0,0,1970-01-01 00:00:00.000004634,3,1,6.44,9,2,1.0,1,1,1,0.0,0.0,7,5.8916442118257715,False,False,False,False,False,False,True,False,False,False,False,False,False,True,0,20410
12,195095,150.0,0.0,0,1970-01-01 00:00:00.000005015,3,11,6.21,86,3,1.0,0,1,11,1.0,0.71,88,5.017279836814924,False,False,False,False,False,False,True,False,False,False,False,False,False,True,0,20410
13,195095,105.0,0.0,0,1970-01-01 00:00:00.000005015,2,11,6.44,9,2,1.0,1,1,11,1.0,0.71,237,4.663439094112067,False,False,False,False,False,False,True,False,False,False,False,False,False,True,0,20410
14,1910540,108.0,1.0,1,1970-01-01 00:00:00.000004433,2,1,6.76,120,2,1.0,1,1,1,1.0,0.94,14,4.6913478822291435,False,False,False,False,False,False,True,False,False,False,False,False,False,True,0,20410
15,195095,90.0,0.0,0,1970-01-01 00:00:00.000005015,2,11,6.21,22,1,1.0,1,1,11,1.0,0.71,172,4.51085950651685,False,False,False,False,False,False,True,False,False,False,False,False,False,True,0,20410
16,304551,60.0,1.0,0,1970-01-01 00:00:00.000004902,2,8,6.75,4,1,1.0,1,1,11,1.0,0.97,23,4.110873864173311,False,False,False,False,False,False,True,False,False,False,False,False,False,True,0,20410
17,195095,163.0,0.0,0,1970-01-01 00:00:00.000005015,3,11,6.52,59,3,1.0,1,1,11,1.0,0.71,104,5.099866427824199,False,False,False,False,False,False,True,False,False,False,False,False,False,True,0,20410
18,1952926,60.0,0.0,0,1970-01-01 00:00:00.000004427,2,1,6.88,829,2,1.0,1,1,4,0.0,0.0,364,4.110873864173311,False,False,False,False,False,False,True,False,False,False,False,False,False,True,0,20410
19,1870492,115.0,0.0,0,1970-01-01 00:00:00.000004439,3,1,6.86,21,2,1.0,1,1,1,0.0,0.0,7,4.7535901911063645,False,False,False,False,False,False,True,False,False,False,False,False,False,True,0,20410
20,304551,50.0,1.0,1,1970-01-01 00:00:00.000004902,2,8,6.75,23,1,0.5,1,1,11,1.0,0.97,206,3.9318256327243257,False,False,False,False,False,False,True,False,False,False,False,False,False,True,0,20410
21,304551,80.0,1.0,0,1970-01-01 00:00:00.000004902,3,8,6.5,9,1,1.0,1,1,11,1.0,0.97,175,4.394449154672439,False,False,False,False,False,False,True,False,False,False,False,False,False,True,0,20410
22,304551,50.0,1.0,0,1970-01-01 00:00:00.000004902,2,8,6.41,17,1,0.5,1,1,11,1.0,0.97,112,3.9318256327243257,False,False,False,False,False,False,True,False,False,False,False,False,False,True,0,20410
23,304551,50.0,1.0,1,1970-01-01 00:00:00.000004902,2,8,6.61,24,1,0.5,1,1,11,1.0,0.97,226,3.9318256327243257,False,False,False,False,False,False,True,False,False,False,False,False,False,True,0,20410
24,195095,90.0,0.0,0,1970-01-01 00:00:00.000005015,2,11,6.6,5,2,1.0,1,1,11,1.0,0.71,173,4.51085950651685,False,False,False,False,False,False,True,False,False,False,False,False,False,True,0,20410
25,304551,50.0,1.0,1,1970-01-01 00:00:00.000004902,2,8,7.0,4,1,1.0,1,0,11,1.0,0.97,115,3.9318256327243257,False,False,False,False,False,False,True,False,False,False,False,False,False,True,0,20410
